codProducto,articuloDesc,fechaVenta,cantidadVendida,precioVenta,valorVenta,idCliente,nombreCliente
A001,Enlatados,16/01/2019,6,12.99,77.94, CL0004,María García 
A002,Lácteos,24/01/2019,7,15.99,111.93, CL0001,José Martínez 
A003,Agrícolas,19/01/2019,8,16.99,135.92, CL0008,Patricia Hernández 
A004,Hogar,31/01/2019,5,8.99,44.95, CL0013,Alejandro Ruiz 
A004,Hogar,20/01/2019,8,8.99,71.92, CL0018,Paula Martínez 
A002,Lácteos,7/1/2019,5,15.99,79.95, CL0014,Sofia Gómez 
A003,Agrícolas,27/01/2019,4,16.99,67.96, CL0004,María García 
A003,Agrícolas,10/1/2019,8,16.99,135.92, CL0006,Laura González 
A002,Lácteos,30/01/2019,7,15.99,111.93, CL0005,Carlos Pérez 
A005,Panadería,25/01/2019,8,7.99,63.92, CL0018,Paula Martínez 
A006,Orgánicos,16/01/2019,6,9.99,59.94, CL0001,José Martínez 
A002,Lácteos,3/1/2019,5,15.99,79.95, CL0017,Diego Flores 
A007,Embutidos,21/01/2019,7,10.99,76.93, CL0006,Laura González 
A004,Hogar,18/01/2019,5,8.99,44.95, CL0011,Daniel Ramírez 
A006,Orgánicos,9/1/2019,8,9.99,79.92, CL0013,Alejandro Ruiz 
A002,Lácteos,21/01/2019,3,15.99,47.97, CL0011,Daniel Ramírez 
A005,Panadería,6/1/2019,5,7.99,39.95, CL0018,Paula Martínez 
A006,Orgánicos,6/1/2019,5,9.99,49.95, CL0006,Laura González 
A004,Hogar,9/1/2019,5,8.99,44.95, CL0018,Paula Martínez 
A003,Agrícolas,29/01/2019,8,16.99,135.92, CL0020,Adriana Morales 
A006,Orgánicos,29/01/2019,3,9.99,29.97, CL0011,Daniel Ramírez 
A003,Agrícolas,15/01/2019,4,16.99,67.96, CL0004,María García 
A001,Enlatados,2/1/2019,5,12.99,64.95, CL0006,Laura González 
A005,Panadería,19/01/2019,4,7.99,31.96, CL0002,Ana Rodríguez 
A007,Embutidos,11/1/2019,4,10.99,43.96, CL0020,Adriana Morales 
A005,Panadería,25/01/2019,6,7.99,47.94, CL0006,Laura González 
A004,Hogar,19/01/2019,8,8.99,71.92, CL0019,Miguel Ángel Reyes 
A002,Lácteos,2/1/2019,7,15.99,111.93, CL0006,Laura González 
A007,Embutidos,15/01/2019,4,10.99,43.96, CL0015,Antonio Vázquez 
