codProducto,articuloDesc,fechaVenta,fechaMes,fechaAnio,cantidadVendida,precioVenta,valorVenta,idCliente,nombreCliente
A001,Enlatados,16/01/2019,1,2019,6,12.99,77.94, CL0004,Maria Garcia 
A002,Lacteos,24/01/2019,1,2019,7,15.99,111.93, CL0001,Jose Martinez 
A003,Agricolas,19/01/2019,1,2019,8,16.99,135.92, CL0008,Patricia Hernandez 
A004,Hogar,31/01/2019,1,2019,5,8.99,44.95, CL0013,Alejandro Ruiz 
A004,Hogar,20/01/2019,1,2019,8,8.99,71.92, CL0018,Paula Martinez 
A002,Lacteos,7/1/2019,1,2019,5,15.99,79.95, CL0014,Sofia Gomez 
A003,Agricolas,27/01/2019,1,2019,4,16.99,67.96, CL0004,Maria Garcia 
A003,Agricolas,10/1/2019,1,2019,8,16.99,135.92, CL0006,Laura Gonzalez 
A002,Lacteos,30/01/2019,1,2019,7,15.99,111.93, CL0005,Carlos Perez 
A005,Panaderia,25/01/2019,1,2019,8,7.99,63.92, CL0018,Paula Martinez 
A006,Organicos,16/01/2019,1,2019,6,9.99,59.94, CL0001,Jose Martinez 
A002,Lacteos,3/1/2019,1,2019,5,15.99,79.95, CL0017,Diego Flores 
A007,Embutidos,21/01/2019,1,2019,7,10.99,76.93, CL0006,Laura Gonzalez 
A004,Hogar,18/01/2019,1,2019,5,8.99,44.95, CL0011,Daniel Ramirez 
A006,Organicos,9/1/2019,1,2019,8,9.99,79.92, CL0013,Alejandro Ruiz 
A002,Lacteos,21/01/2019,1,2019,3,15.99,47.97, CL0011,Daniel Ramirez 
A005,Panaderia,6/1/2019,1,2019,5,7.99,39.95, CL0018,Paula Martinez 
A006,Organicos,6/1/2019,1,2019,5,9.99,49.95, CL0006,Laura Gonzalez 
A004,Hogar,9/1/2019,1,2019,5,8.99,44.95, CL0018,Paula Martinez 
A003,Agricolas,29/01/2019,1,2019,8,16.99,135.92, CL0020,Adriana Morales 
A006,Organicos,29/01/2019,1,2019,3,9.99,29.97, CL0011,Daniel Ramirez 
A003,Agricolas,15/01/2019,1,2019,4,16.99,67.96, CL0004,Maria Garcia 
A001,Enlatados,2/1/2019,1,2019,5,12.99,64.95, CL0006,Laura Gonzalez 
A005,Panaderia,19/01/2019,1,2019,4,7.99,31.96, CL0002,Ana Rodriguez 
A007,Embutidos,11/1/2019,1,2019,4,10.99,43.96, CL0020,Adriana Morales 
A005,Panaderia,25/01/2019,1,2019,6,7.99,47.94, CL0006,Laura Gonzalez 
A004,Hogar,19/01/2019,1,2019,8,8.99,71.92, CL0019,Miguel angel Reyes 
A002,Lacteos,2/1/2019,1,2019,7,15.99,111.93, CL0006,Laura Gonzalez 
A007,Embutidos,15/01/2019,1,2019,4,10.99,43.96, CL0015,Antonio Vazquez 
A001,Enlatados,8/1/2019,1,2019,3,12.99,38.97, CL0012,Gabriela Torres 
A004,Hogar,21/01/2019,1,2019,8,8.99,71.92, CL0009,Luis Diaz 
A002,Lacteos,5/1/2019,1,2019,3,15.99,47.97, CL0014,Sofia Gomez 
